"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"Altersklasse - Total"	"20-24 Jahre"	"25-29 Jahre"	"30-34 Jahre"	"35-39 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	987	56	37	38	65
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	450	55	33	25	20
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	15	0	0	1	0
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	58	0	0	1	4
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	5818	427	439	442	395
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	2721	395	337	222	170
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	108	0	0	0	1
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	390	0	3	10	17
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	2614	138	112	172	201
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	1196	136	93	97	64
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	26	0	0	0	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	163	0	0	2	12
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	1687	95	51	91	101
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	730	93	46	52	37
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	20	0	0	0	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	134	0	1	2	6
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	1844	118	99	101	114
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	824	118	81	66	36
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	40	0	0	0	2
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	126	0	0	3	8
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	512	24	20	26	34
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	235	24	18	12	14
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	9	0	0	0	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	38	0	0	2	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	1063	62	59	57	63
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	497	60	52	31	24
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	15	0	0	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	63	0	0	2	2
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	333	19	12	23	25
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	160	16	12	10	12
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	6	0	0	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	24	0	0	1	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	2356	155	132	153	136
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	1065	150	102	84	52
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	29	0	0	0	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	159	1	0	3	4
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	2501	133	139	139	157
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	1117	128	103	69	46
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	30	0	0	0	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	146	0	2	4	3
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	1268	68	55	54	70
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	540	68	50	29	29
