"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"40-44 Jahre"	"45-49 Jahre"	"50-54 Jahre"	"55-59 Jahre"	"60-64 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	58	111	84	81	72
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	18	21	12	15	6
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	1	0	1
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	11	7	11	11
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	405	455	449	414	336
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	131	95	73	50	34
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	3	1	7	9
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	27	51	68	79	57
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	201	238	227	168	135
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	32	44	37	21	9
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	3	1	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	11	26	26	22	24
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	112	169	164	130	104
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	20	29	32	17	6
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	1	0	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	11	17	27	18	15
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	132	175	187	125	106
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	23	30	29	10	6
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	2	1	2
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	10	20	22	20	15
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	52	52	43	33	29
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	11	9	8	3	4
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	2	0	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	3	7	7	6	6
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	82	98	99	64	54
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	16	16	18	6	4
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	2	1	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	4	9	10	8	7
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	23	28	39	14	22
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	6	6	9	1	1
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	1
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	3	7	5	5
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	176	202	207	148	144
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	45	38	26	15	12
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	3	2	2
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	11	19	30	33	23
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	192	244	208	154	143
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	47	51	25	18	10
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	1	0	0	4
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	7	21	26	26	16
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	91	122	91	105	92
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Ledig"	19	22	15	14	5
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0	0	1
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Mann"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	6	20	13	15	19
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Mann"	"Zivilstand - Total"	52	44	41	32	28
