"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"100 Jahre und mehr"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	1
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	1
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	1
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
"2015"	"......0025 Dachsen"	"Ständige Wohnbevölkerung"	"Geschlecht - Total"	"Zivilstand - Total"	0
