"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"Altersklasse - Total"	"20-24 Jahre"	"25-29 Jahre"	"30-34 Jahre"	"35-39 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	994	45	33	51	66
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	402	44	25	23	23
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	59	0	0	1	0
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	89	0	0	0	0
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	5890	379	418	413	373
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	2279	311	257	149	107
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	437	0	0	0	2
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	614	2	12	16	32
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	2712	128	140	183	215
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	1140	122	104	86	52
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	128	0	0	0	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	220	0	2	7	6
