"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"65-69 Jahre"	"70-74 Jahre"	"75-79 Jahre"	"80-84 Jahre"	"85-89 Jahre"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	49	54	19	24	20
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	2	2	3	0	1
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	6	5	17	16
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	10	9	1	3	1
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	302	292	231	166	102
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	19	14	13	14	6
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	48	55	82	75	69
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	57	44	27	15	3
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	145	111	76	37	29
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	9	8	4	0	1
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	15	15	24	19	13
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	20	15	8	4	1
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	114	76	62	39	14
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	3	3	1	2	1
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	17	12	28	17	11
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	17	9	7	2	1
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	101	64	41	38	17
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	9	4	1	2	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	7	10	21	14
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	24	8	4	0	2
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	20	23	14	9	5
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	1	1	1	1	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	5	4	5	4
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	5	1	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	57	42	22	16	14
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	4	0	0	2	1
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	7	5	5	6	11
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	14	5	2	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	19	12	4	12	6
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	3	1	0	0	2
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	2	2	9	2
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	2	1	0	0	1
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	132	111	60	45	22
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	11	2	3	1	1
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	9	15	13	16	14
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	25	18	8	2	1
