"Ständige und nichtständige Wohnbevölkerung nach institutionellen Gliederungen, Geschlecht, Zivilstand und Altersklasse"

"Jahr"	"Kanton (-) / Bezirk (>>) / Gemeinde (......)"	"Bevölkerungstyp"	"Geschlecht"	"Zivilstand"	"90-94 Jahre"	"95-99 Jahre"	"100 Jahre und mehr"
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	5	0	0
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	4	0	0
"2015"	"......0001 Aeugst am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	42	8	1
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	3	0	0
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	34	8	1
"2015"	"......0002 Affoltern am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	0	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	8	3	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	7	3	0
"2015"	"......0003 Bonstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	0	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	7	1	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	5	1	0
"2015"	"......0004 Hausen am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	0	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	5	3	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	4	3	0
"2015"	"......0005 Hedingen"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	2	1	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	1	0
"2015"	"......0006 Kappel am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	10	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	1	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	9	0	0
"2015"	"......0007 Knonau"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	0	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0
"2015"	"......0008 Maschwanden"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	13	1	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	1	1	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	11	0	0
"2015"	"......0009 Mettmenstetten"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	13	2	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	13	2	0
"2015"	"......0010 Obfelden"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	6	1	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	3	1	0
"2015"	"......0011 Ottenbach"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	0	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	8	0	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	8	0	0
"2015"	"......0012 Rifferswil"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	5	0	0
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	5	0	0
"2015"	"......0013 Stallikon"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	17	2	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	1	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	14	1	0
"2015"	"......0014 Wettswil am Albis"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	1	0	0
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	0	0	0
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0
"2015"	"......0021 Adlikon"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	1	0	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	1	0	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	0	0	0
"2015"	"......0022 Benken (ZH)"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	1	0	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	1	0	0
"2015"	"......0023 Berg am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Geschieden, unverheiratet, gerichtlich aufgelöste Partnerschaft"	0	0	0
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Zivilstand - Total"	2	0	0
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Ledig"	0	0	0
"2015"	"......0024 Buch am Irchel"	"Ständige Wohnbevölkerung"	"Frau"	"Verwitwet, durch Tod aufgelöste Partnerschaft"	2	0	0
