,Gemeinde,Frauen - Total,Total ledige Frauen ab 20,Anteil ledige Frauen,Ledige20-24 JahreFrauen Total,Anteil20-24 Jahre_x,Ledige25-29 JahreFrauen Total,Anteil25-29 Jahre_x,Ledige30-34 JahreFrauen Total,Anteil30-34 Jahre_x,Ledige35-39 JahreFrauen Total,Anteil35-39 Jahre_x,Ledige40-44 JahreFrauen Total,Anteil40-44 Jahre_x,Ledige45-49 JahreFrauen Total,Anteil45-49 Jahre_x,Ledige50-54 JahreFrauen Total,Anteil50-54 Jahre_x,Ledige55-59 JahreFrauen Total,Anteil55-59 Jahre_x,Ledige60-64 JahreFrauen Total,Anteil60-64 Jahre_x,Ledige65-69 JahreFrauen Total,Anteil65-69 Jahre_x,Ledige70-74 JahreFrauen Total,Anteil70-74 Jahre_x,Ledige75-79 JahreFrauen Total,Anteil75-79 Jahre_x,Ledige80-84 JahreFrauen Total,Anteil80-84 Jahre_x,Ledige85-89 JahreFrauen Total,Anteil85-89 Jahre_x,Ledige90-94 JahreFrauen Total,Anteil90-94 Jahre_x,Ledige95-99 JahreFrauen Total,Anteil95-99 Jahre_x,Ledige100 Jahre und mehrFrauen Total,Anteil100 Jahre und mehr_x,Männer - Total,Total ledige Männer ab 20,Anteil ledige Männer,Ledige20-24 JahreMänner Total,Anteil20-24 Jahre_y,Ledige25-29 JahreMänner Total,Anteil25-29 Jahre_y,Ledige30-34 JahreMänner Total,Anteil30-34 Jahre_y,Ledige35-39 JahreMänner Total,Anteil35-39 Jahre_y,Ledige40-44 JahreMänner Total,Anteil40-44 Jahre_y,Ledige45-49 JahreMänner Total,Anteil45-49 Jahre_y,Ledige50-54 JahreMänner Total,Anteil50-54 Jahre_y,Ledige55-59 JahreMänner Total,Anteil55-59 Jahre_y,Ledige60-64 JahreMänner Total,Anteil60-64 Jahre_y,Ledige65-69 JahreMänner Total,Anteil65-69 Jahre_y,Ledige70-74 JahreMänner Total,Anteil70-74 Jahre_y,Ledige75-79 JahreMänner Total,Anteil75-79 Jahre_y,Ledige80-84 JahreMänner Total,Anteil80-84 Jahre_y,Ledige85-89 JahreMänner Total,Anteil85-89 Jahre_y,Ledige90-94 JahreMänner Total,Anteil90-94 Jahre_y,Ledige95-99 JahreMänner Total,Anteil95-99 Jahre_y,Ledige100 Jahre und mehrMänner Total,Anteil100 Jahre und mehr_y,Ledige Männer Total +/-,Ledige Frauen Total +/-,Ledige20-24 JahreFrauen Total +/-,Ledige20-24 JahreMänner Total +/-,Ledige40-44 JahreFrauen Total +/-,Ledige40-44 JahreMänner Total +/-,Ledige60-64 JahreFrauen Total +/-,Ledige60-64 JahreMänner Total +/-,Ledige20-24 JahreFrauen TotalTotal +/-,Ledige25-29 JahreFrauen TotalTotal +/-,Ledige30-34 JahreFrauen TotalTotal +/-,Ledige35-39 JahreFrauen TotalTotal +/-,Ledige40-44 JahreFrauen TotalTotal +/-,Ledige45-49 JahreFrauen TotalTotal +/-,Ledige50-54 JahreFrauen TotalTotal +/-,Ledige55-59 JahreFrauen TotalTotal +/-,Ledige60-64 JahreFrauen TotalTotal +/-,Ledige65-69 JahreFrauen TotalTotal +/-,Ledige70-74 JahreFrauen TotalTotal +/-,Ledige75-79 JahreFrauen TotalTotal +/-,Ledige80-84 JahreFrauen TotalTotal +/-,Ledige85-89 JahreFrauen TotalTotal +/-,Ledige90-94 JahreFrauen TotalTotal +/-
0,......0001 Aeugst am Albis,994,550,55.3,44,4.4,25,2.5,24,2.4,23,2.3,24,2.4,37,3.7,32,3.2,43,4.3,20,2.0,14,1.4,17,1.7,9,0.9,20,2.0,18,1.8,4,0.4,0,0.0,0,0.0,987,523,53.0,55,5.6,33,3.3,27,2.7,24,2.4,19,1.9,33,3.3,20,2.0,26,2.6,18,1.8,13,1.3,8,0.8,4,0.4,4,0.4,3,0.3,0,0.0,0,0.0,0,0.0,-27,27,-11,11,5,-5,2,-2,-11,-8,-3,-1,5,4,12,17,2,1,9,5,16,15,4
1,......0002 Affoltern am Albis,5890,3330,56.5,313,5.3,269,4.6,165,2.8,141,2.4,122,2.1,174,3.0,162,2.8,144,2.4,126,2.1,124,2.1,113,1.9,122,2.1,104,1.8,78,1.3,38,0.6,8,0.1,1,0.0,5818,3219,55.3,395,6.8,340,5.8,232,4.0,188,3.2,159,2.7,149,2.6,142,2.4,136,2.3,100,1.7,61,1.0,53,0.9,42,0.7,18,0.3,22,0.4,8,0.1,1,0.0,0,0.0,-111,111,-82,82,-37,37,26,-26,-82,-71,-67,-47,-37,25,20,8,26,63,60,80,86,56,30
2,......0003 Bonstetten,2712,1488,54.9,122,4.5,106,3.9,93,3.4,58,2.1,64,2.4,58,2.1,78,2.9,52,1.9,53,2.0,44,1.6,38,1.4,36,1.3,23,0.8,15,0.6,8,0.3,3,0.1,0,0.0,2614,1385,53.0,136,5.2,93,3.6,99,3.8,76,2.9,43,1.6,70,2.7,66,2.5,44,1.7,33,1.3,33,1.3,20,0.8,11,0.4,9,0.3,7,0.3,2,0.1,0,0.0,0,0.0,-103,103,-14,14,21,-21,20,-20,-14,13,-6,-18,21,-12,12,8,20,11,18,25,14,8,6
3,......0004 Hausen am Albis,1790,997,55.7,74,4.1,60,3.4,54,3.0,43,2.4,33,1.8,60,3.4,58,3.2,46,2.6,48,2.7,37,2.1,24,1.3,36,2.0,21,1.2,13,0.7,6,0.3,1,0.1,0,0.0,1687,884,52.4,93,5.5,47,2.8,54,3.2,43,2.5,31,1.8,47,2.8,60,3.6,35,2.1,21,1.2,23,1.4,18,1.1,12,0.7,7,0.4,3,0.2,2,0.1,0,0.0,0,0.0,-113,113,-19,19,2,-2,27,-27,-19,13,0,0,2,13,-2,11,27,14,6,24,14,10,4
4,......0005 Hedingen,1816,980,54.0,102,5.6,70,3.9,35,1.9,29,1.6,31,1.7,55,3.0,46,2.5,44,2.4,30,1.7,36,2.0,19,1.0,15,0.8,23,1.3,16,0.9,4,0.2,3,0.2,0,0.0,1844,990,53.7,118,6.4,81,4.4,69,3.7,46,2.5,33,1.8,50,2.7,53,2.9,31,1.7,23,1.2,25,1.4,17,0.9,11,0.6,10,0.5,4,0.2,3,0.2,1,0.1,1,0.1,10,-10,-16,16,-2,2,7,-7,-16,-11,-34,-17,-2,5,-7,13,7,11,2,4,13,12,1
5,......0006 Kappel am Albis,521,291,55.9,16,3.1,20,3.8,9,1.7,11,2.1,12,2.3,17,3.3,19,3.6,12,2.3,8,1.5,4,0.8,11,2.1,6,1.2,6,1.2,4,0.8,2,0.4,1,0.2,0,0.0,512,282,55.1,24,4.7,18,3.5,14,2.7,14,2.7,14,2.7,16,3.1,17,3.3,9,1.8,10,2.0,9,1.8,4,0.8,1,0.2,0,0.0,3,0.6,1,0.2,1,0.2,0,0.0,-9,9,-8,8,-2,2,-2,2,-8,2,-5,-3,-2,1,2,3,-2,-5,7,5,6,1,1
6,......0007 Knonau,1034,552,53.4,58,5.6,32,3.1,17,1.6,17,1.6,16,1.5,33,3.2,38,3.7,21,2.0,24,2.3,25,2.4,10,1.0,7,0.7,8,0.8,12,1.2,10,1.0,0,0.0,0,0.0,1063,575,54.1,60,5.6,52,4.9,33,3.1,26,2.4,21,2.0,25,2.4,30,2.8,15,1.4,11,1.0,9,0.8,8,0.8,7,0.7,5,0.5,6,0.6,1,0.1,0,0.0,0,0.0,23,-23,-2,2,-5,5,13,-13,-2,-20,-16,-9,-5,8,8,6,13,16,2,0,3,6,9
7,......0008 Maschwanden,308,172,55.8,16,5.2,8,2.6,8,2.6,8,2.6,5,1.6,10,3.2,10,3.2,7,2.3,2,0.6,8,2.6,4,1.3,2,0.6,9,2.9,5,1.6,0,0.0,0,0.0,0,0.0,333,190,57.1,16,4.8,12,3.6,11,3.3,12,3.6,6,1.8,9,2.7,16,4.8,6,1.8,7,2.1,6,1.8,3,0.9,3,0.9,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0,18,-18,0,0,-1,1,-5,5,0,-4,-3,-4,-1,1,-6,1,-5,2,1,-1,8,4,-1
8,......0009 Mettmenstetten,2313,1248,54.0,106,4.6,109,4.7,55,2.4,49,2.1,48,2.1,61,2.6,69,3.0,61,2.6,42,1.8,45,1.9,35,1.5,24,1.0,19,0.8,16,0.7,12,0.5,1,0.0,0,0.0,2356,1253,53.2,151,6.4,102,4.3,87,3.7,56,2.4,56,2.4,58,2.5,59,2.5,50,2.1,37,1.6,25,1.1,19,0.8,15,0.6,9,0.4,4,0.2,2,0.1,1,0.0,0,0.0,5,-5,-45,45,-8,8,5,-5,-45,7,-32,-7,-8,3,10,11,5,20,16,9,10,12,10
9,......0010 Obfelden,2508,1315,52.4,119,4.7,83,3.3,62,2.5,45,1.8,39,1.6,61,2.4,54,2.2,50,2.0,52,2.1,60,2.4,31,1.2,28,1.1,29,1.2,27,1.1,13,0.5,2,0.1,0,0.0,2501,1293,51.7,128,5.1,105,4.2,73,2.9,49,2.0,54,2.2,73,2.9,51,2.0,44,1.8,30,1.2,37,1.5,14,0.6,10,0.4,9,0.4,7,0.3,2,0.1,1,0.0,0,0.0,-22,22,-9,9,-15,15,22,-22,-9,-22,-11,-4,-15,-12,3,6,22,23,17,18,20,20,11
