,Gemeinde,Geschlecht,Frauen - Total,Total ledige Frauen ab 20,Anteil ledige Frauen,Ledige20-24 JahreFrauen Total,Anteil20-24 Jahre,Ledige25-29 JahreFrauen Total,Anteil25-29 Jahre,Ledige30-34 JahreFrauen Total,Anteil30-34 Jahre,Ledige35-39 JahreFrauen Total,Anteil35-39 Jahre,Ledige40-44 JahreFrauen Total,Anteil40-44 Jahre,Ledige45-49 JahreFrauen Total,Anteil45-49 Jahre,Ledige50-54 JahreFrauen Total,Anteil50-54 Jahre,Ledige55-59 JahreFrauen Total,Anteil55-59 Jahre,Ledige60-64 JahreFrauen Total,Anteil60-64 Jahre,Ledige65-69 JahreFrauen Total,Anteil65-69 Jahre,Ledige70-74 JahreFrauen Total,Anteil70-74 Jahre,Ledige75-79 JahreFrauen Total,Anteil75-79 Jahre,Ledige80-84 JahreFrauen Total,Anteil80-84 Jahre,Ledige85-89 JahreFrauen Total,Anteil85-89 Jahre,Ledige90-94 JahreFrauen Total,Anteil90-94 Jahre,Ledige95-99 JahreFrauen Total,Anteil95-99 Jahre,Ledige100 Jahre und mehrFrauen Total,Anteil100 Jahre und mehr
0,......0001 Aeugst am Albis,Frau,994,550,55.3,44,4.4,25,2.5,24,2.4,23,2.3,24,2.4,37,3.7,32,3.2,43,4.3,20,2.0,14,1.4,17,1.7,9,0.9,20,2.0,18,1.8,4,0.4,0,0.0,0,0.0
1,......0002 Affoltern am Albis,Frau,5890,3330,56.5,313,5.3,269,4.6,165,2.8,141,2.4,122,2.1,174,3.0,162,2.8,144,2.4,126,2.1,124,2.1,113,1.9,122,2.1,104,1.8,78,1.3,38,0.6,8,0.1,1,0.0
2,......0003 Bonstetten,Frau,2712,1488,54.9,122,4.5,106,3.9,93,3.4,58,2.1,64,2.4,58,2.1,78,2.9,52,1.9,53,2.0,44,1.6,38,1.4,36,1.3,23,0.8,15,0.6,8,0.3,3,0.1,0,0.0
3,......0004 Hausen am Albis,Frau,1790,997,55.7,74,4.1,60,3.4,54,3.0,43,2.4,33,1.8,60,3.4,58,3.2,46,2.6,48,2.7,37,2.1,24,1.3,36,2.0,21,1.2,13,0.7,6,0.3,1,0.1,0,0.0
4,......0005 Hedingen,Frau,1816,980,54.0,102,5.6,70,3.9,35,1.9,29,1.6,31,1.7,55,3.0,46,2.5,44,2.4,30,1.7,36,2.0,19,1.0,15,0.8,23,1.3,16,0.9,4,0.2,3,0.2,0,0.0
5,......0006 Kappel am Albis,Frau,521,291,55.9,16,3.1,20,3.8,9,1.7,11,2.1,12,2.3,17,3.3,19,3.6,12,2.3,8,1.5,4,0.8,11,2.1,6,1.2,6,1.2,4,0.8,2,0.4,1,0.2,0,0.0
6,......0007 Knonau,Frau,1034,552,53.4,58,5.6,32,3.1,17,1.6,17,1.6,16,1.5,33,3.2,38,3.7,21,2.0,24,2.3,25,2.4,10,1.0,7,0.7,8,0.8,12,1.2,10,1.0,0,0.0,0,0.0
7,......0008 Maschwanden,Frau,308,172,55.8,16,5.2,8,2.6,8,2.6,8,2.6,5,1.6,10,3.2,10,3.2,7,2.3,2,0.6,8,2.6,4,1.3,2,0.6,9,2.9,5,1.6,0,0.0,0,0.0,0,0.0
8,......0009 Mettmenstetten,Frau,2313,1248,54.0,106,4.6,109,4.7,55,2.4,49,2.1,48,2.1,61,2.6,69,3.0,61,2.6,42,1.8,45,1.9,35,1.5,24,1.0,19,0.8,16,0.7,12,0.5,1,0.0,0,0.0
9,......0010 Obfelden,Frau,2508,1315,52.4,119,4.7,83,3.3,62,2.5,45,1.8,39,1.6,61,2.4,54,2.2,50,2.0,52,2.1,60,2.4,31,1.2,28,1.1,29,1.2,27,1.1,13,0.5,2,0.1,0,0.0
10,......0011 Ottenbach,Frau,1301,699,53.7,67,5.1,57,4.4,36,2.8,30,2.3,37,2.8,35,2.7,41,3.2,34,2.6,35,2.7,27,2.1,19,1.5,14,1.1,7,0.5,12,0.9,4,0.3,1,0.1,0,0.0
11,......0012 Rifferswil,Frau,559,316,56.5,22,3.9,13,2.3,9,1.6,3,0.5,13,2.3,16,2.9,16,2.9,21,3.8,14,2.5,9,1.6,4,0.7,4,0.7,6,1.1,7,1.3,8,1.4,0,0.0,0,0.0
12,......0013 Stallikon,Frau,1709,888,52.0,60,3.5,56,3.3,46,2.7,44,2.6,46,2.7,55,3.2,44,2.6,42,2.5,36,2.1,28,1.6,19,1.1,21,1.2,18,1.1,14,0.8,5,0.3,0,0.0,0,0.0
13,......0014 Wettswil am Albis,Frau,2504,1302,52.0,94,3.8,65,2.6,59,2.4,62,2.5,51,2.0,58,2.3,55,2.2,38,1.5,42,1.7,60,2.4,47,1.9,42,1.7,34,1.4,27,1.1,15,0.6,2,0.1,0,0.0
14,......0021 Adlikon,Frau,340,182,53.5,11,3.2,14,4.1,11,3.2,6,1.8,7,2.1,9,2.6,10,2.9,9,2.6,5,1.5,4,1.2,5,1.5,5,1.5,5,1.5,4,1.2,0,0.0,0,0.0,0,0.0
15,......0022 Benken (ZH),Frau,423,239,56.5,18,4.3,18,4.3,13,3.1,10,2.4,14,3.3,17,4.0,12,2.8,14,3.3,7,1.7,13,3.1,6,1.4,5,1.2,8,1.9,8,1.9,1,0.2,0,0.0,0,0.0
16,......0023 Berg am Irchel,Frau,282,138,48.9,15,5.3,10,3.5,5,1.8,6,2.1,12,4.3,9,3.2,9,3.2,7,2.5,2,0.7,7,2.5,3,1.1,1,0.4,6,2.1,2,0.7,1,0.4,0,0.0,0,0.0
