,Gemeinde,Geschlecht,Männer - Total,Total ledige Männer ab 20,Anteil ledige Männer,Ledige20-24 JahreMänner Total,Anteil20-24 Jahre,Ledige25-29 JahreMänner Total,Anteil25-29 Jahre,Ledige30-34 JahreMänner Total,Anteil30-34 Jahre,Ledige35-39 JahreMänner Total,Anteil35-39 Jahre,Ledige40-44 JahreMänner Total,Anteil40-44 Jahre,Ledige45-49 JahreMänner Total,Anteil45-49 Jahre,Ledige50-54 JahreMänner Total,Anteil50-54 Jahre,Ledige55-59 JahreMänner Total,Anteil55-59 Jahre,Ledige60-64 JahreMänner Total,Anteil60-64 Jahre,Ledige65-69 JahreMänner Total,Anteil65-69 Jahre,Ledige70-74 JahreMänner Total,Anteil70-74 Jahre,Ledige75-79 JahreMänner Total,Anteil75-79 Jahre,Ledige80-84 JahreMänner Total,Anteil80-84 Jahre,Ledige85-89 JahreMänner Total,Anteil85-89 Jahre,Ledige90-94 JahreMänner Total,Anteil90-94 Jahre,Ledige95-99 JahreMänner Total,Anteil95-99 Jahre,Ledige100 Jahre und mehrMänner Total,Anteil100 Jahre und mehr
0,......0001 Aeugst am Albis,Mann,987,523,53.0,55,5.6,33,3.3,27,2.7,24,2.4,19,1.9,33,3.3,20,2.0,26,2.6,18,1.8,13,1.3,8,0.8,4,0.4,4,0.4,3,0.3,0,0.0,0,0.0,0,0.0
1,......0002 Affoltern am Albis,Mann,5818,3219,55.3,395,6.8,340,5.8,232,4.0,188,3.2,159,2.7,149,2.6,142,2.4,136,2.3,100,1.7,61,1.0,53,0.9,42,0.7,18,0.3,22,0.4,8,0.1,1,0.0,0,0.0
2,......0003 Bonstetten,Mann,2614,1385,53.0,136,5.2,93,3.6,99,3.8,76,2.9,43,1.6,70,2.7,66,2.5,44,1.7,33,1.3,33,1.3,20,0.8,11,0.4,9,0.3,7,0.3,2,0.1,0,0.0,0,0.0
3,......0004 Hausen am Albis,Mann,1687,884,52.4,93,5.5,47,2.8,54,3.2,43,2.5,31,1.8,47,2.8,60,3.6,35,2.1,21,1.2,23,1.4,18,1.1,12,0.7,7,0.4,3,0.2,2,0.1,0,0.0,0,0.0
4,......0005 Hedingen,Mann,1844,990,53.7,118,6.4,81,4.4,69,3.7,46,2.5,33,1.8,50,2.7,53,2.9,31,1.7,23,1.2,25,1.4,17,0.9,11,0.6,10,0.5,4,0.2,3,0.2,1,0.1,1,0.1
5,......0006 Kappel am Albis,Mann,512,282,55.1,24,4.7,18,3.5,14,2.7,14,2.7,14,2.7,16,3.1,17,3.3,9,1.8,10,2.0,9,1.8,4,0.8,1,0.2,0,0.0,3,0.6,1,0.2,1,0.2,0,0.0
6,......0007 Knonau,Mann,1063,575,54.1,60,5.6,52,4.9,33,3.1,26,2.4,21,2.0,25,2.4,30,2.8,15,1.4,11,1.0,9,0.8,8,0.8,7,0.7,5,0.5,6,0.6,1,0.1,0,0.0,0,0.0
7,......0008 Maschwanden,Mann,333,190,57.1,16,4.8,12,3.6,11,3.3,12,3.6,6,1.8,9,2.7,16,4.8,6,1.8,7,2.1,6,1.8,3,0.9,3,0.9,1,0.3,1,0.3,1,0.3,0,0.0,0,0.0
8,......0009 Mettmenstetten,Mann,2356,1253,53.2,151,6.4,102,4.3,87,3.7,56,2.4,56,2.4,58,2.5,59,2.5,50,2.1,37,1.6,25,1.1,19,0.8,15,0.6,9,0.4,4,0.2,2,0.1,1,0.0,0,0.0
9,......0010 Obfelden,Mann,2501,1293,51.7,128,5.1,105,4.2,73,2.9,49,2.0,54,2.2,73,2.9,51,2.0,44,1.8,30,1.2,37,1.5,14,0.6,10,0.4,9,0.4,7,0.3,2,0.1,1,0.0,0,0.0
