BZNR;BZNAME;KTNR;GRNR;AREA_HA;X_MIN;X_MAX;Y_MIN;Y_MAX;X_CNTR;Y_CNTR;Z_MIN;Z_MAX;Z_AVG;Z_MED
101;Bezirk Affoltern;1;4;11303;671862;686462;229137;245396;678300;235900;380;914;561;557
102;Bezirk Andelfingen;1;4;16652;684956;704388;264720;283343;693200;274000;342;694;437;426
103;Bezirk Bülach;1;4;18491;676551;693523;250961;276522;684800;263000;332;691;466;451
104;Bezirk Dielsdorf;1;4;15285;669244;684518;252441;269583;676400;260000;331;865;484;461
105;Bezirk Hinwil;1;4;17949;697374;716900;233458;248313;707300;240300;439;1290;685;644
106;Bezirk Horgen;1;4;10424;680480;696472;223896;243212;688400;231700;405;1227;605;601
107;Bezirk Meilen;1;4;8462;685168;703422;232392;245507;689700;240800;405;852;565;552
108;Bezirk Pfäffikon;1;4;16315;691820;713652;243859;258390;702700;249300;453;1072;635;626
109;Bezirk Uster;1;4;11223;686407;700227;236811;254014;689800;249400;426;845;503;482
110;Bezirk Winterthur;1;4;25175;687928;712737;251095;272191;700800;262200;369;890;528;508
111;Bezirk Dietikon;1;4;6012;669737;679229;241971;254508;674700;248700;378;799;483;475
112;Bezirk Zürich;1;4;8793;676224;689665;241584;254306;679500;249400;392;868;488;458
241;Arrondissement administratif Jura bernois;2;2;54172;556241;610093;212304;243834;580400;227900;429;1606;964;968
242;Verwaltungskreis Biel/Bienne;2;2;9757;575815;596458;211621;228480;587400;220900;422;1197;541;467
243;Verwaltungskreis Seeland;2;2;33397;568628;604428;202124;226634;587700;211900;424;821;492;472
244;Verwaltungskreis Oberaargau;2;2;33082;610705;634285;210714;238152;624100;225600;399;1231;585;550
245;Verwaltungskreis Emmental;2;2;69041;605003;639362;181694;224162;622800;204100;450;2196;805;787
246;Verwaltungskreis Bern-Mittelland;2;2;94625;572871;622384;168849;219079;601800;193800;448;2187;749;671
247;Verwaltungskreis Thun;2;2;32197;601204;632773;169610;187310;609000;176600;535;2189;945;901
248;Verwaltungskreis Obersimmental-Saanen;2;2;57501;581086;608971;130585;167180;594000;147300;793;3246;1657;1619
249;Verwaltungskreis Frutigen-Niedersimmental;2;2;77365;594691;631091;139997;174467;613900;157000;558;3694;1665;1642
250;Verwaltungskreis Interlaken-Oberhasli;2;2;122922;623477;677745;147409;182848;649600;167300;556;4269;1913;1892
311;Wahlkreis Luzern-Stadt;3;6;2910;658323;675204;205685;215024;664200;212000;419;1121;507;494
312;Wahlkreis Luzern-Land;3;6;18758;652360;681764;201632;221523;659200;207500;403;2074;743;636
313;Wahlkreis Hochdorf;3;6;17736;658916;673331;212970;237691;666100;223800;398;878;558;525
314;Wahlkreis Sursee;3;6;27308;643580;661767;210498;234867;652600;216000;471;866;635;636
315;Wahlkreis Willisau;3;6;33742;630127;648996;206022;236889;639400;221000;434;1403;670;646
316;Wahlkreis Entlebuch;3;6;42459;631826;655294;180569;214777;643700;197200;509;2347;1108;1055
400;Uri (KT);4;6;105738;673344;715795;153453;204585;690900;180300;429;3628;1932;1992
501;Bezirk Einsiedeln;5;6;9906;694482;709971;213304;226109;698300;220000;782;1614;1065;1021
502;Bezirk Gersau;5;6;1436;679020;685262;204835;209111;682800;206700;441;1698;1008;1020
503;Bezirk Höfe;5;6;3760;694120;703628;222918;229249;698500;226600;406;1205;696;693
504;Bezirk Küssnacht (SZ);5;6;2939;672166;679649;211331;218653;677700;213900;418;1797;652;547
505;Bezirk March;5;6;17674;702736;718719;208678;230751;711200;221500;404;2294;954;949
506;Bezirk Schwyz;5;6;49432;677979;716675;193658;221393;698700;207300;414;2800;1290;1278
600;Obwalden (KT);6;6;48066;646044;681479;178345;203582;658500;184300;433;3238;1361;1386
700;Nidwalden (KT);7;6;24135;659303;686418;180483;206111;673900;196100;432;2896;1178;1149
800;Glarus (KT);8;5;68071;709273;738138;183891;225967;723700;204400;410;3611;1589;1601
900;Zug (KT);9;6;20718;672418;695749;215061;233506;683800;223600;386;1579;696;694
1001;District de la Broye;10;2;17298;547264;570783;174242;197360;555800;185600;429;820;539;513
1002;District de la Glâne;10;2;16866;550643;569555;158288;182250;560100;169400;522;1205;765;756
